0,0: (10,12,29)  #0A0C1D  srgb(10,12,29)
1,0: (81,55,85)  #513755  srgb(81,55,85)
2,0: (222,48,21)  #DE3015  srgb(222,48,21)
3,0: (252,199,27)  #FCC71B  srgb(252,199,27)
4,0: (17,84,182)  #1154B6  srgb(17,84,182)
5,0: (164,18,165)  #A412A5  srgb(164,18,165)
6,0: (202,64,182)  #CA40B6  srgb(202,64,182)
7,0: (211,10,210)  #D30AD2  srgb(211,10,210)
8,0: (228,1,228)  #E401E4  srgb(228,1,228)
9,0: (255,0,255)  #FF00FF  magenta
10,0: (53,156,226)  #359CE2  srgb(53,156,226)
11,0: (168,168,171)  #A8A8AB  srgb(168,168,171)
12,0: (200,204,190)  #C8CCBE  srgb(200,204,190)
13,0: (212,214,221)  #D4D6DD  srgb(212,214,221)
14,0: (229,231,233)  #E5E7E9  srgb(229,231,233)
15,0: (254,255,255)  #FEFFFF  srgb(254,255,255)
